,arrivals_exponential_rate,services_exponential_rate,number_of_stations,queue_size_avg,wait_time_avg,response_time_avg,end_to_end_delay_avg,drop_probabilities,queue_capacity
790,180,800;800;800,3,0.06500250410481188;0.06565822683369936;0.06483770479977445,0.0003607452475531598;0.0003643902703688866;0.0003598379274976267,0.0016133647810171751;0.0016142542748830394;0.0016059878274676954,0.004833606883367914;0.0;0.0,0.0;0.0;0.0,10.0
791,180,810;810;810,3,0.06499451563053862;0.06304636698616403;0.06154731331101067,0.0003609171192538305;0.00035006927579864895;0.00034178439027353206,0.001595707624023035;0.001587986736164844;0.001573796430432619,0.0047574907906205;0.0;0.0,0.0;0.0;0.0,10.0
792,180,820;820;820,3,0.06183328482184385;0.05968236338690581;0.06210409932845062,0.0003437179195091804;0.00033185935979274697;0.0003453005122144051,0.0015699985253648425;0.001545356763098341;0.001560754317848464,0.00467610960631164;0.0;0.0,0.0;0.0;0.0,10.0
793,180,830;830;830,3,0.05958122473707462;0.05972410316262872;0.059655580936249966,0.00033146037490345317;0.0003322615359292597;0.00033188168714064437,0.0015418513655697315;0.0015386005556597237;0.0015380174297075903,0.004618469350937048;0.0;0.0,0.0;0.0;0.0,10.0
794,180,840;840;840,3,0.058854647127217184;0.05914112300055636;0.05777172344844756,0.0003273627259342608;0.00032893153811442755;0.0003213490666286161,0.0015184103323714862;0.001518111492855595;0.001506471292771909,0.004543006693443261;0.0;0.0,0.0;0.0;0.0,10.0
795,180,850;850;850,3,0.056379638576154856;0.05669105609502734;0.05637240432745158,0.00031598354190075424;0.0003177119171196954;0.00031594129126972343,0.001493122205933738;0.0014972602291439979;0.001492693559982636,0.0044830759950603705;0.0;0.0,0.0;0.0;0.0,10.0
796,180,860;860;860,3,0.0564278964855976;0.05575928345620997;0.05524660275269719,0.0003131784253074719;0.0003094044448555334;0.00030662816430924864,0.0014747435912432069;0.0014729196625155275;0.0014666285390316925,0.0044142544953394815;0.0;0.0,0.0;0.0;0.0,10.0
797,180,870;870;870,3,0.054783424119657954;0.05555144913076661;0.054771117074338155,0.0003045011849407373;0.00030877366116866087;0.00030443928560320427,0.0014594498656556947;0.001456045209897696;0.0014584500979697979,0.0043739451735231825;0.0;0.0,0.0;0.0;0.0,10.0
798,180,880;880;880,3,0.05221427502650991;0.051734630668844796;0.05066113351183113,0.0002903761675932565;0.0002877113895067067;0.0002817443337329528,0.0014224687494572674;0.0014211994723967469;0.0014147257952871614,0.004258336749243744;0.0;0.0,0.0;0.0;0.0,10.0
799,180,890;890;890,3,0.0528897823185541;0.05149694361661854;0.052284012292128514,0.00029244575932805005;0.00028475218688977675;0.0002890747627590048,0.0014129109681409882;0.0014020779282646995;0.0014156376871743558,0.004230637025988141;0.0;0.0,0.0;0.0;0.0,10.0
800,180,900;900;900,3,0.05067181800588207;0.052164516091688415;0.050951431335425394,0.00027992944847356465;0.00028817038131496287;0.00028144915309198865,0.0013887521218382767;0.0014032357698346174;0.0013922511875221848,0.004184239079195086;0.0;0.0,0.0;0.0;0.0,10.0
801,180,910;910;910,3,0.04852066333833868;0.04821771584254607;0.04886303996946603,0.0002701226189311699;0.0002684662456340088;0.00027204250568489485,0.0013725990821548807;0.0013657237730251653;0.0013683246801924176,0.004106663197560635;0.0;0.0,0.0;0.0;0.0,10.0
802,180,920;920;920,3,0.047223418084678885;0.04686603909989786;0.04731721847155067,0.0002631821230137868;0.0002611943461140724;0.0002637093236904386,0.00134901345727045;0.0013487813282887602;0.0013537787068996334,0.004051573492458839;0.0;0.0,0.0;0.0;0.0,10.0
803,180,930;930;930,3,0.04532014396595925;0.04756956892831465;0.04617382375206317,0.0002519127977440613;0.00026446308551334753;0.000256703986299363,0.0013268295054227313;0.0013454914919294218;0.0013321237258496863,0.004004444723201831;0.0;0.0,0.0;0.0;0.0,10.0
804,180,940;940;940,3,0.04586429816101739;0.044900186172701036;0.04448509196942543,0.0002554035925840657;0.00025000934509901906;0.00024773354380072063,0.0013211911977833292;0.001319326140449085;0.0013072546655257327,0.0039477907732541695;0.0;0.0,0.0;0.0;0.0,10.0
805,180,950;950;950,3,0.04432014226005118;0.0437643287939133;0.044906272755375384,0.0002453679057399459;0.00024229579171308033;0.0002486177064204618,0.001297172799722231;0.0012919612653664867;0.0013059775045454834,0.003895052429922193;0.0;0.0,0.0;0.0;0.0,10.0
806,180,960;960;960,3,0.043023864805283495;0.0437374325910274;0.043463923162801205,0.00023827212325511104;0.00024222724755272224;0.0002407165512499072,0.0012786432798835025;0.0012819859287332995;0.0012807833598045542,0.003841394460931306;0.0;0.0,0.0;0.0;0.0,10.0
807,180,970;970;970,3,0.04076967791546972;0.04094530293525308;0.042195293429429764,0.00022730783163207708;0.00022834451163772048;0.0002353161066582522,0.0012498841299255872;0.0012528418622046737;0.00126643719561586,0.0037691631877461215;0.0;0.0,0.0;0.0;0.0,10.0
808,180,980;980;980,3,0.041952764545695825;0.040785667295015295;0.04109802056352718,0.00023313735375225014;0.00022664260416216977;0.0002283792306593683,0.0012576078131455593;0.0012476412571578207;0.0012474696920459158,0.003752718762349303;0.0;0.0,0.0;0.0;0.0,10.0
809,180,990;990;990,3,0.041243976475277735;0.041382159925240844;0.04090394025825202,0.00022870286205035228;0.0002294723382361036;0.00022682109529159768,0.0012391301880771866;0.001244061450806983;0.0012414538844097028,0.0037246455232938735;0.0;0.0,0.0;0.0;0.0,10.0
810,190,100;100;100,3,8.894307467112123;4.637673100626557;3.5843964522250764,0.08850637715240388;0.050356561393673366;0.04060287127436,0.09845509324111752;0.06036861184713145;0.05057456419930837,0.21361914104738042;0.0;0.0,0.4688;0.08337569903406203;0.041415863754956136,10.0
811,190,110;110;110,3,8.638030515227445;4.4344825250732445;3.5203111636814377,0.07874250937055345;0.04403003826424708;0.03651353809072939,0.08784978669318308;0.05306599171188106;0.045589401839787456,0.19059653814736752;0.0;0.0,0.42371;0.08182638575544063;0.04259059717575001,10.0
812,190,120;120;120,3,8.352282581837489;4.476649993001238;3.6135187131793116,0.07014123803280436;0.04068472753774477;0.034272571944007825,0.07851795505337501;0.048984706980794115;0.04260773751925933,0.17356086784490446;0.0;0.0,0.37337;0.07585865679264556;0.041744386873920555,10.0
813,190,130;130;130,3,8.02329298091123;4.557135985390264;3.460728119337868,0.06216818217720799;0.03845912793002392;0.030400524663605478,0.06987803456290083;0.04616653771959198;0.038062066376867064,0.1573754578458544;0.0;0.0,0.32344;0.08173553108138074;0.03920085002253847,10.0
814,190,140;140;140,3,7.542171824945823;4.499705051317797;3.673849209362052,0.05427626867387542;0.03500985681491459;0.029927069486105934,0.06140998539310588;0.04214685883998522;0.03709537327458321,0.14355869884482675;0.0;0.0,0.27066;0.07500959903461138;0.04478674039701718,10.0
815,190,150;150;150,3,7.138842792664445;4.345319044000665;3.474559753324994,0.04870468682947496;0.03189355436888866;0.026538700060485,0.05542353412184144;0.0385389832672537;0.033201833300203785,0.12962679329099444;0.0;0.0,0.23212;0.07046949273946734;0.038965952080706176,10.0
816,190,160;160;160,3,6.438682397381584;4.2050851097999695;3.451250169869695,0.041559909766997694;0.0290407890657942;0.02481751822871548,0.04782975236981648;0.03526809216560016;0.031063687596699637,0.11628466884894798;0.0;0.0,0.18299;0.06520994001713797;0.03954950235725511,10.0
817,190,170;170;170,3,5.840117082913665;4.097679785586597;3.3878203126574955,0.03586756016678709;0.026733826656494042;0.022959687488320692,0.0417588156251931;0.03261133822474866;0.028849202038211,0.10494496014560582;0.0;0.0,0.1439;0.058540403509386794;0.037301764574491844,10.0
818,190,180;180;180,3,5.139120010043438;3.8078325685636942;3.3250916297724746,0.03036473813264957;0.02368193827255361;0.021415322203428254,0.03590895243063646;0.0292095046299302;0.026966106382969826,0.0933946546005363;0.0;0.0,0.10997;0.04992471402566465;0.0342559735036669,10.0
819,190,190;190;190,3,4.617661156504305;3.526081553917745;3.19579179470578,0.02653985709562662;0.021127089868735235;0.019738165343267524,0.03183480508887105;0.02636449697015592;0.02500676682129034,0.08420386954150783;0.0;0.0,0.08327;0.04073261991251323;0.029818835223072635,10.0
820,190,200;200;200,3,4.088346080757566;3.3017649532798234;2.9802420126984757,0.02293098038552545;0.019168885772399235;0.01776249504300827,0.02794958649906898;0.024183909391072282;0.02277557091813341,0.07559317875225612;0.0;0.0,0.06239;0.03381189069266378;0.0258771058267647,10.0
821,190,210;210;210,3,3.529084380524514;2.968216007900091;2.6613871722317146,0.019466562147587334;0.016859029831303975;0.015434680243881555,0.024238766985720788;0.0216382973108171;0.02019598091078869,0.06655476376295773;0.0;0.0,0.04737;0.02880658436213992;0.02060362347040256,10.0
822,190,220;220;220,3,3.0121422873067893;2.708031976873884;2.4211318232006858,0.016367843683314596;0.015060519008757465;0.0136949166243478,0.02089778531104004;0.019624450433155;0.018228529396946,0.0590672238502185;0.0;0.0,0.03208;0.022895873370115512;0.016749851958379157,10.0
823,190,230;230;230,3,2.5997857194759355;2.3244410807372526;2.261361458938314,0.013985384599589666;0.012708071965249042;0.012553886091374117,0.01833738239537559;0.01702071476671386;0.0169063723416301,0.05247012855045753;0.0;0.0,0.02331;0.01601490902016199;0.015048861968840739,10.0
824,190,240;240;240,3,2.2529275372872015;2.136190739200636;2.011466452418105,0.01205617020670049;0.011578611864727055;0.011012159105039948,0.0162247244128507;0.01575612289602458;0.015178620545019155,0.047307724677801616;0.0;0.0,0.0178;0.01267627144529858;0.009962152072354513,10.0
825,190,250;250;250,3,1.9315931359645975;1.8223081783683808;1.8102225873187934,0.010262751673425953;0.009770697507585567;0.009794742095238463,0.014240778848178;0.013742586273558663;0.013798257603667778,0.041872686031159144;0.0;0.0,0.012;0.009058887831737484;0.009049866192723336,10.0
826,190,260;260;260,3,1.760908234818272;1.6538362781699671;1.6166504077710275,0.009309897028465706;0.00880294666065412;0.008661075932388436,0.013161243555599576;0.012646194912092363;0.012506974578611559,0.03836841768839165;0.0;0.0,0.00884;0.006689199414821168;0.006460066428984977,10.0
827,190,270;270;270,3,1.4630712140370945;1.4338703749167379;1.3956137872919328,0.007776989393441501;0.007660660690437724;0.007489431699205521,0.011480051997685535;0.011376400906038848;0.011181190919192481,0.03407063328440915;0.0;0.0,0.00574;0.005129546186031541;0.004407914025456715,10.0
828,190,280;280;280,3,1.2926691834504616;1.2497462575913914;1.236982821114338,0.006848353602903936;0.006642434917249518;0.006595489580180736,0.010411626445488096;0.010207853149194458;0.01015921627407232,0.030799092103356806;0.0;0.0,0.00399;0.003182730923694779;0.003192989524576954,10.0
829,190,290;290;290,3,1.1876496856577998;1.1452854972575486;1.1657735572087524,0.0062661558888149355;0.006060154718134329;0.006185386329343868,0.00971707481882196;0.009502113088853882;0.009657626792733303,0.028893883472196697;0.0;0.0,0.00327;0.0028995976682820133;0.0026967196619038037,10.0
830,190,300;300;300,3,1.0390235775002763;1.0361868789531787;1.0199386036649294,0.005482675329609786;0.005479320430039713;0.005402786297865128,0.008808196001631725;0.00880831682727229;0.008746567522710783,0.026370830573827372;0.0;0.0,0.00226;0.0020346185841861025;0.0017877050085870101,10.0
831,190,310;310;310,3,0.9518538995258847;0.9273518262540602;0.9351227567277272,0.004994797743440211;0.004873399149290543;0.004922325521088321,0.008217394725786547;0.008088251124618358;0.008148740916256175,0.024460884796803826;0.0;0.0,0.00194;0.0014428134862982816;0.0016155250958277308,10.0
832,190,320;320;320,3,0.845200539143243;0.8311887855785796;0.8307961574988685,0.004451761984058831;0.004384128214080503;0.00438742720571623,0.0075808410184382054;0.007501534245476142;0.007501266147401546,0.022590633942134092;0.0;0.0,0.00108;0.001421577951526194;0.001203043700562423,10.0
833,190,330;330;330,3,0.7978015784240717;0.7504706121231204;0.7588459999263644,0.004205256401340317;0.0039598047987480485;0.004006201431492332,0.007254760285394139;0.006978324480612976;0.007035041447665465,0.02126927671032532;0.0;0.0,0.00082;0.0010408743344409305;0.0005710736184025969,10.0
834,190,340;340;340,3,0.7056854260411121;0.6857654008367714;0.6955457623787532,0.0037172462011735023;0.003614603695026768;0.003668384815158427,0.006669440509575536;0.006557700835568238;0.006616437289751976,0.019846045921387407;0.0;0.0,0.00084;0.0006705766959585243;0.0005909100014021594,10.0
835,190,350;350;350,3,0.6315369576727431;0.6438563989793812;0.6330687840151267,0.003334620059911147;0.0034018845644075255;0.0033465402337526664,0.006197118506027996;0.006283716013660888;0.006218775038267392,0.01870094008989539;0.0;0.0,0.00046;0.0006503056436525167;0.00047052699022905655,10.0
836,190,360;360;360,3,0.5766914788576274;0.5877211074420485;0.5905188791058376,0.0030302998836884447;0.003089406559468218;0.0031058088643467346,0.005800553592036512;0.0058772131180693;0.0058816462381333125,0.017559857042075126;0.0;0.0,0.00033;0.00039013264509933377;0.0004403478748211087,10.0
837,190,370;370;370,3,0.5184791533976739;0.5229902770188221;0.5149111567841645,0.0027461419817304505;0.0027706645275083334;0.002728127379389531,0.005448810271742199;0.0054673307911090865;0.0054299579510904425,0.016347322240830423;0.0;0.0,0.00022;0.00024005521269892076;0.00015007053315058076,10.0
838,190,380;380;380,3,0.5206642701692498;0.5083810796946439;0.5090078650973103,0.0027189534875341776;0.0026555048689333185;0.0026593470499648086,0.005363333000276638;0.005290686068229184;0.005291487518903871,0.015946830702445954;0.0;0.0,0.00019;0.00021005041209890373;0.00021009874641081307,10.0
839,190,390;390;390,3,0.45193403749809796;0.4562046819546179;0.4524452565785088,0.002389674029369345;0.002413065846503946;0.0023937047886641106,0.004952655495993685;0.004982717508637114;0.004956181361856291,0.014890661801531944;0.0;0.0,6e-05;0.000310027902511226;0.00019008363680019208,10.0
840,190,400;400;400,3,0.41798569937797553;0.42108724804692765;0.41841899022436085,0.0022091091731885025;0.0022260400776253518;0.0022126716974981,0.004701698586867844;0.0047256832775653;0.004712343908979914,0.014140493782577585;0.0;0.0,0.00015;0.00031005270896052327;0.00028013726726095785,10.0
841,190,410;410;410,3,0.3923441643555816;0.38490709233521925;0.39157002613991654,0.002081022933660577;0.002041723825457753;0.0020770922000508973,0.004530086992859024;0.004478294453574048;0.004527597401463397,0.013535969616123992;0.0;0.0,0.00014;5.000850144524569e-05;1.0002300529121698e-05,10.0
842,190,420;420;420,3,0.3685133885619321;0.3749595971913173;0.3783834578269032,0.0019323201957375936;0.0019663279010784266;0.001984254353214607,0.004307624458556753;0.004350021658702807;0.0043653905901160275,0.013022986952887757;0.0;0.0,4e-05;8.000400020001e-05;4.0006401024163864e-05,10.0
843,190,430;430;430,3,0.34372830566550655;0.35068813140527116;0.3464401113861599,0.0018034574312588557;0.0018401293737987118;0.0018178979839554219,0.0041231460944938245;0.004160944739125113;0.004139232785320518,0.012423576244832903;0.0;0.0,3e-05;4.000160006400256e-05;3.0002400192015362e-05,10.0
844,190,440;440;440,3,0.32544411423908265;0.32743466555822265;0.32634475917067196,0.0017110275868773466;0.0017215493070625893;0.001715841012010384,0.003985302049060762;0.0039931309079808035;0.003984088910692024,0.011962148783125265;0.0;0.0,0.0;3.000120004800192e-05;1.000070004900343e-05,10.0
845,190,450;450;450,3,0.31645530984303355;0.3149972508684858;0.31438585779986056,0.0016586597806331098;0.0016511371672094442;0.0016475805741016285,0.003884727599180988;0.003882302083592054;0.003876456218469972,0.011643561612985161;0.0;0.0,5e-05;5.00030001800108e-05;2.000280039205489e-05,10.0
846,190,460;460;460,3,0.29747284335540464;0.28964486700727515;0.29251997714526945,0.0015644325528556765;0.0015232582290719558;0.0015384618147857858,0.0037398818597286;0.0037057433436358685;0.003713106988302526,0.011158811402750532;0.0;0.0,1e-05;2.000040000800016e-05;0.0,10.0
847,190,470;470;470,3,0.27942715268140444;0.27517085587414314;0.2795966037563554,0.0014636532936859144;0.001441296762335665;0.0014645635966536018,0.0036001354686252566;0.003564411605837754;0.0036033449132649217,0.01076799700061519;0.0;0.0,3e-05;1.000050002500125e-05;5.00030001800108e-05,10.0
848,190,480;480;480,3,0.26186802085420113;0.2588984925464612;0.25169960094693183,0.001381261743982662;0.0013656443195626542;0.0013277339359207799,0.003464389989098852;0.00344818217741248;0.0034066718405670296,0.010319247356714197;0.0;0.0,2e-05;2.000060001800054e-05;5.00030001800108e-05,10.0
849,190,490;490;490,3,0.242291416824222;0.2435522194237521;0.24736918045356285,0.0012687968577119145;0.0012754173420276614;0.0012954488169119286,0.0033064635423227426;0.003320834731817029;0.0033352247264729373,0.00996267496728822;0.0;0.0,0.0;1.000020000400008e-05;2.000060001800054e-05,10.0
850,190,500;500;500,3,0.2394769665451275;0.23709236854132223;0.24296069169955492,0.0012595454462421608;0.001247120992097408;0.0012778014696443992,0.0032651265981661274;0.0032542938261348278;0.003287266809158843,0.009806774446230217;0.0;0.0,1e-05;6.000120002400048e-05;0.0,10.0
851,190,510;510;510,3,0.22383932925571826;0.219879815249504;0.22470121407901167,0.001179044509842971;0.0011581655713677767;0.0011837083287577653,0.003147925353796318;0.003112225632407482;0.0031501160455522084,0.00941033522727732;0.0;0.0,0.0;0.0;0.00011000330009900296,10.0
852,190,520;520;520,3,0.20459887686745612;0.20435166703538973;0.20793016803935713,0.001081369849771083;0.0010799671490896647;0.0010988922143814813,0.003000386857644121;0.002994553101344465;0.0030159862277242895,0.009010907959111627;0.0;0.0,2e-05;0.0;1.000050002500125e-05,10.0
853,190,530;530;530,3,0.19538238254995563;0.19739658072279734;0.20072413912022857,0.0010304701605962075;0.0010411080837745166;0.0010586444658302566,0.002913706234591596;0.002940154151364972;0.0029501103062239673,0.008804144616165374;0.0;0.0,0.0;0.0;5.000250012500625e-05,10.0
854,190,540;540;540,3,0.19118230969146507;0.1915139308498489;0.18588719843712764,0.0010063835766297479;0.0010081336989452923;0.0009785362473637268,0.0028575854273975893;0.002857405653192835;0.0028172511794965736,0.008532267183511995;0.0;0.0,2e-05;1.000030000900027e-05;0.0,10.0
855,190,550;550;550,3,0.18299913405882479;0.18311839201499724;0.1795134583572354,0.0009606516336788819;0.0009613175663905205;0.0009424034496603983,0.0027787259061335186;0.0027803580558580397;0.0027554822098157404,0.008314633389589935;0.0;0.0,0.0;2.000020000200002e-05;0.0,10.0
856,190,560;560;560,3,0.17559032986052361;0.1749608609863453;0.17758139165976353,0.0009204309202320655;0.0009171209285843323;0.0009308233413776116,0.0026999473177775906;0.002700603041578252;0.0027233858388265014,0.008123993854360837;0.0;0.0,0.0;0.0;1.000030000900027e-05,10.0
857,190,570;570;570,3,0.16378095881297508;0.1671419029018902;0.17094237954730476,0.0008605240964255532;0.0008782051950193807;0.0008981791721555309,0.0026093328149977136;0.0026298303265213678;0.002649478639290637,0.007888641780809717;0.0;0.0,0.0;0.0;0.0,10.0
858,190,580;580;580,3,0.15683541969226916;0.1580337789458229;0.16048525281218542,0.0008268556335301525;0.0008331377637757249;0.000846106262954271,0.002540028113361057;0.0025499261762129866;0.002571932306590511,0.007661878562963943;0.0;0.0,1e-05;0.0;0.0,10.0
859,190,590;590;590,3,0.15333081912532812;0.15245444233428415;0.15548706109917498,0.0008068704068789678;0.000802236125822192;0.0008182026414611425,0.0025087504854811446;0.002495804477682679;0.002520538235936456,0.007525093199100282;0.0;0.0,0.0;0.0;0.0,10.0
860,190,600;600;600,3,0.14678829372066618;0.14923535121340184;0.14521298481182113,0.000775129710529851;0.0007880206733375488;0.0007667857412883556,0.0024382551541935176;0.002460045297970443;0.0024348488865773093,0.00733314933874126;0.0;0.0,0.0;0.0;0.0,10.0
861,190,610;610;610,3,0.13975847423328827;0.13481215277596117;0.13904349174384306,0.0007357849832123595;0.0007098607858369061;0.0007321245845020707,0.002368012441183489;0.002336383936383216;0.00236415708420134,0.007068579722241823;0.0;0.0,0.0;0.0;0.0,10.0
862,190,620;620;620,3,0.13961584620502654;0.1365930443612285;0.1382319883940002,0.0007300493650993835;0.0007142578063193532;0.0007228453426557772,0.0023387663325503422;0.002318225107802644;0.002328912890801544,0.0069859444731063215;0.0;0.0,0.0;0.0;2.000020000200002e-05,10.0
863,190,630;630;630,3,0.13127454056712395;0.13019089709832754;0.12859009642396385,0.0006917557975652406;0.000686058910657058;0.0006776838984960509,0.0022753203667683747;0.0022706963124224057;0.0022634581425539798,0.006809474821744754;0.0;0.0,0.0;0.0;0.0,10.0
864,190,640;640;640,3,0.12288572566630979;0.12488903861007404;0.1240322695122995,0.000649044277463265;0.0006596336174679195;0.0006551154465928482,0.002203685261313539;0.002229731908290505;0.0022234034418735986,0.006656813020361359;0.0;0.0,0.0;0.0;0.0,10.0
865,190,650;650;650,3,0.12270473725153619;0.1191603376418679;0.12079955738854105,0.000645620000135985;0.0006269645236422042;0.000635611472341749,0.0021884554650116236;0.0021610303189701237;0.0021766385611457343,0.006526124345127491;0.0;0.0,0.0;0.0;0.0,10.0
866,190,660;660;660,3,0.11409893475231238;0.11331036788838295;0.11490448078350392,0.0006012874888612836;0.0005971479660732916;0.0006055188189450194,0.002115368784373376;0.002116025792955832;0.002115041788542351,0.0063464315324135824;0.0;0.0,0.0;0.0;0.0,10.0
867,190,670;670;670,3,0.11422283240420082;0.11318285179605476;0.11204248394614595,0.0006006846014076255;0.0005952285558960728;0.0005892098634487931,0.002103469857717073;0.002088357734207278;0.0020816626972977583,0.006273350612789467;0.0;0.0,0.0;0.0;0.0,10.0
868,190,680;680;680,3,0.10769866064898177;0.10671575753076924;0.10636479480514806,0.0005701356424488024;0.0005649417676053404;0.0005630866719503588,0.0020452090427423193;0.002039549010342478;0.002027300670801662,0.006112058723886457;0.0;0.0,0.0;0.0;0.0,10.0
869,190,690;690;690,3,0.10465734009139163;0.10216917574493697;0.10011238295107348,0.0005516104395384767;0.0005385240928891359;0.0005276916055773385,0.002000037895157949;0.001987683399064921;0.00197599365159334,0.005963744119761197;0.0;0.0,0.0;0.0;0.0,10.0
870,190,700;700;700,3,0.10106020336801869;0.10012387959170217;0.10082521357273376,0.0005314895532249404;0.000526572669041662;0.0005302659465772615,0.0019579256824532915;0.0019538070659269914;0.001963350649379469,0.005875083397759739;0.0;0.0,0.0;0.0;0.0,10.0
871,190,710;710;710,3,0.09765074919168479;0.09825080389014268;0.10036435862777114,0.0005133920481250934;0.0005165529993172604;0.0005276670621479364,0.0019230535615938269;0.0019220618854918015;0.0019399865930045121,0.0057851020400901286;0.0;0.0,0.0;0.0;0.0,10.0
872,190,720;720;720,3,0.09400032807722931;0.09330378004071138;0.09139499069209087,0.0004944730139468893;0.0004908441901520811;0.00048082510556006567,0.0018834603919050718;0.0018746585884004442;0.0018663044703768471,0.005624423450682363;0.0;0.0,0.0;0.0;0.0,10.0
873,190,730;730;730,3,0.09051049302069103;0.08924835078816692;0.09015539845600755,0.0004779762467221644;0.00047132720771100655;0.00047612099197702544,0.0018360388710137062;0.0018388244049160583;0.0018506153933494187,0.005525478669279192;0.0;0.0,0.0;0.0;0.0,10.0
874,190,740;740;740,3,0.08556635641119184;0.08543410568483403;0.08601199720656255,0.0004525697133177111;0.0004518996103531948;0.00045496191145416847,0.0018079856187087518;0.0018039733786672893;0.0017997394623889792,0.0054116984597650285;0.0;0.0,0.0;0.0;0.0,10.0
875,190,750;750;750,3,0.08467997528838168;0.0868104228396088;0.08356440123917223,0.00044836040530138346;0.0004596248461142665;0.00044243922713664547,0.0017831609903765295;0.0017913749408128984;0.0017763502521047248,0.005350886183294159;0.0;0.0,0.0;0.0;0.0,10.0
876,190,760;760;760,3,0.08439327560846868;0.08206374385477092;0.0830554830674885,0.0004430843978542086;0.0004309190833798372;0.00043613570606378723,0.0017592586886018954;0.0017442767878265624;0.001746779013875034,0.0052503141679021295;0.0;0.0,0.0;0.0;0.0,10.0
877,190,770;770;770,3,0.08024853000075051;0.08168227137548642;0.0829772854694596,0.00042177290303264654;0.00042931450576780045;0.000436124174508409,0.0017165931722840045;0.0017297593824035194;0.0017445819843938633,0.005190934539081375;0.0;0.0,0.0;0.0;0.0,10.0
878,190,780;780;780,3,0.07851701800476005;0.07988907564318762;0.07806015148572368,0.0004135719931220959;0.00042076632411345216;0.00041115812346611744,0.001692132327441158;0.001704800363661694;0.0016844695419769872,0.00508140223307984;0.0;0.0,0.0;0.0;0.0,10.0
879,190,790;790;790,3,0.0749431109850575;0.07609907994978483;0.07612459394981519,0.0003968040435779636;0.0004029260656956152;0.0004030669252405068,0.0016640726241691523;0.001669031922375076;0.0016750152020201035,0.0050080812135289915;0.0;0.0,0.0;0.0;0.0,10.0
880,190,800;800;800,3,0.07627952660958695;0.07517627062629276;0.07503503295496018,0.0004014118229727029;0.00039560168241974645;0.0003948625485339791,0.0016541969319474727;0.0016492121179910548;0.0016508798521263795,0.004954288902064901;0.0;0.0,0.0;0.0;0.0,10.0
881,190,810;810;810,3,0.07160508055518505;0.07108886887621622;0.06995698321455963,0.00037814870977094143;0.0003754280708822955;0.0003694519037482354,0.0016161572814825532;0.0016062842781886673;0.0016054778051173748,0.004827923692680073;0.0;0.0,0.0;0.0;0.0,10.0
882,190,820;820;820,3,0.07017056923857017;0.0689817160417611;0.06790066764898281,0.00036937693071571243;0.00036312701709479464;0.0003574322952443356,0.001589137247940983;0.0015762033036470318;0.0015774712497617644,0.004742794055594864;0.0;0.0,0.0;0.0;0.0,10.0
883,190,830;830;830,3,0.06920515852544167;0.06879221210637781;0.0680781600195784,0.0003634856509780389;0.00036132267142769726;0.0003575658783644012,0.0015742927652749067;0.0015655278828977835;0.001562912771695182,0.004702679254641579;0.0;0.0,0.0;0.0;0.0,10.0
884,190,840;840;840,3,0.06641501478528543;0.06637918290745608;0.06588854176654915,0.00034891489059451087;0.00034865680697923553;0.00034615698969444713,0.0015373031775415325;0.0015361078190203696;0.0015319419430042892,0.004605352939566191;0.0;0.0,0.0;0.0;0.0,10.0
885,190,850;850;850,3,0.063734591679969;0.06273814377003721;0.06517225494345763,0.00033413099876717126;0.00032891339574366257;0.0003416243220909364,0.0015066193601646009;0.0014987434466116963;0.0015179224401398244,0.0045232728052747775;0.0;0.0,0.0;0.0;0.0,10.0
886,190,860;860;860,3,0.06249715095902844;0.06128970024057796;0.061771844055415366,0.0003293457498171013;0.000322987779738296;0.0003255044035298588,0.0014920418882535195;0.0014818572587192152;0.0014858480893998305,0.00445975333739027;0.0;0.0,0.0;0.0;0.0,10.0
887,190,870;870;870,3,0.05979077706197096;0.06012772797968583;0.0613857872712805,0.0003152513294896737;0.0003170329981883109;0.0003236589908533599,0.0014556037941523775;0.001466112955335596;0.0014706357468712657,0.00439235249635924;0.0;0.0,0.0;0.0;0.0,10.0
888,190,880;880;880,3,0.060549038995951224;0.06169196851975201;0.06060057417557414,0.00031673599745517657;0.000322718527474311;0.00031700938155758554,0.0014528170859284878;0.00146243930766108;0.0014611445482555583,0.004376400941845122;0.0;0.0,0.0;0.0;0.0,10.0
889,190,890;890;890,3,0.05702758040290604;0.05689150184779587;0.058394467002025885,0.00030023046402378545;0.00029951768125332937;0.00030741353865955357,0.0014238852890133514;0.001425323224507019;0.0014322025456566325,0.004281424619063877;0.0;0.0,0.0;0.0;0.0,10.0
890,190,900;900;900,3,0.05589903694321706;0.05824741908609579;0.05619949966511909,0.00029451447478747383;0.00030690307992610607;0.000296113143529,0.0014036642293136252;0.0014245639333497276;0.0014097774137040028,0.004238005576367365;0.0;0.0,0.0;0.0;0.0,10.0
891,190,910;910;910,3,0.053494953598235626;0.0544554762365847;0.05372143365874204,0.0002823223432761878;0.00028737424788383067;0.0002835173627237603,0.0013765179419906108;0.0013832467833126208;0.0013788094447537936,0.004138600442861966;0.0;0.0,0.0;0.0;0.0,10.0
892,190,920;920;920,3,0.05353155832259449;0.05488995843156374;0.053232845333094574,0.0002809898222975943;0.00028811953222834406;0.00027942161872911023,0.0013715948741343138;0.001379178621315732;0.0013668052113467145,0.004117579034982878;0.0;0.0,0.0;0.0;0.0,10.0
