,arrivals_exponential_rate,services_exponential_rate,queue_capacity,number_of_stations,queue_size_avg,end_to_end_delay_avg,drop_probabilities
48,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,500,17,451.65167867540293,276.90409996799036,0.9999430044669193
49,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,500,17,310.7913979177658,99.68993828577538,0.7846795812049967
50,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,500,17,478.5713701260853,21.629976268917126,0.9999999999944039
51,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,500,17,450.0769313674105,54.525948336544225,0.999938862243225
52,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,500,18,451.50121822838406,242.86554771331308,0.9999671841021365
53,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,500,18,316.6346501388214,111.68854601317587,0.810663267106942
54,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,500,18,476.94015634066756,20.921373966625907,0.999999999998316
55,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,500,18,450.6831231183066,39.72237055872609,0.9999671962464785
56,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,500,19,451.2629853115416,251.87663734289444,0.9999800841328249
57,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,500,19,326.8008428025078,124.512721815795,0.8330948678613419
58,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100,500,19,475.6074162386037,15.623499801967188,0.9999999999993757
59,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600;600,500,19,453.01533733590315,38.23704091563551,0.9999796998389493
