,arrivals_exponential_rate,services_exponential_rate,queue_capacity,number_of_stations,queue_size_avg,wait_time_avg,end_to_end_delay_avg,drop_probabilities
0,100;100,100;100,500,2,383.40378912543827,7.626531655422234,12.54824924731182,0.5060049268174707
1,100;100,200;200,500,2,138.9016604661455,1.3912776546690195,2.792606540804863,0.998389983899839
2,100;100,300;300,500,2,0.7720187025809376,0.008555810305361605,0.02547871887691679,1.0
3,100;100,400;400,500,2,0.29071928808757735,0.0033318969727423697,0.013305095470448114,1.0
4,100;100,500;500,500,2,0.1593896786111922,0.0018420765903454138,0.009154747424921488,1.0
5,100;100,600;600,500,2,0.09825075711973032,0.0011554577486560735,0.006963467607937965,1.0
6,100;100,700;700,500,2,0.06751446420254781,0.0007925139427782192,0.005632630991768326,1.0
7,100;100,800;800,500,2,0.05088593812230798,0.000597012439694344,0.00476961008390169,1.0
8,100;100,900;900,500,2,0.038521256426871694,0.00045346413644204223,0.004103193227056358,1.0
9,200;200,100;100,500,2,495.77350274377216,9.781638306096335,14.631304076544918,0.17377208182388607
10,200;200,200;200,500,2,337.70175305588475,3.376981680226721,5.855087310465901,0.5035113768610298
11,200;200,300;300,500,2,246.64674965165975,1.6480507719085127,3.299561585338559,0.751385027700554
12,200;200,400;400,500,2,42.77930100940066,0.21590803599955802,0.43683723215375736,1.0
13,200;200,500;500,500,2,1.7405433919747955,0.009380398546608288,0.023446616750391495,1.0
14,200;200,600;600,500,2,0.7369043144983606,0.0040833717468502905,0.012321987051046708,1.0
15,200;200,700;700,500,2,0.43903489748664204,0.002493334876273186,0.008713840197725043,1.0
16,200;200,800;800,500,2,0.2932167250681152,0.0016729905077082648,0.006668542142163317,1.0
17,200;200,900;900,500,2,0.2133758705775427,0.0012281401225522856,0.005468249684233862,1.0
18,300;300,100;100,500,2,496.5456009265548,9.767960065382958,14.602964506936349,0.08952783511621765
19,300;300,200;200,500,2,493.8269442861366,4.927185082708997,7.383442263167002,0.27256982484992204
20,300;300,300;300,500,2,344.6144176190853,2.2948982750184106,3.942329527233027,0.5052694911005264
21,300;300,400;400,500,2,247.8424462174808,1.239162308478144,2.4790537721622607,0.67106
22,300;300,500;500,500,2,243.40280336127836,0.9708993195461411,1.944806675637981,0.8407984079840798
23,300;300,600;600,500,2,98.7980619266398,0.33154119356491724,0.6664167554064766,0.99916
24,300;300,700;700,500,2,2.563648434702178,0.00913465633426264,0.02148986024378322,1.0
25,300;300,800;800,500,2,1.2530944494063534,0.004551592580597241,0.012110224809129341,1.0
26,300;300,900;900,500,2,0.7445145755837017,0.002752479303927049,0.008275684405840858,1.0
27,400;400,100;100,500,2,496.82926225804135,9.767300195169234,14.534774285151073,0.053404725417013535
28,400;400,200;200,500,2,495.62782678957734,4.930137471734149,7.375662800028339,0.17342600241589967
29,400;400,300;300,500,2,492.56509807730254,3.259509698568321,4.893401307997653,0.3297730585684363
30,400;400,400;400,500,2,273.9927559718616,1.3626716629037843,2.602166495003588,0.5096442434671256
31,400;400,500;500,500,2,248.83946144168644,0.9974110669839923,1.9926306539533207,0.6285762857628576
32,400;400,600;600,500,2,246.6462173429352,0.8212519522083206,1.6442394000594502,0.7544101764070563
33,400;400,700;700,500,2,242.67876607171505,0.6904422386671677,1.3832949259128213,0.8821888218882189
34,400;400,800;800,500,2,87.08204638067386,0.2190358422142,0.4405870860450978,1.0
35,400;400,900;900,500,2,3.8822162340967656,0.010127132380716311,0.022719918979306877,1.0
36,500;500,100;100,500,2,496.8221378642557,9.813638981636656,14.480735446210991,0.03592929119991131
37,500;500,200;200,500,2,496.2072989547415,4.89963607139058,7.321545717083245,0.11943227466047436
38,500;500,300;300,500,2,493.9628896592852,3.266031532772033,4.889155910462316,0.2306057066263359
39,500;500,400;400,500,2,491.10862582039454,2.429385970985542,3.6541444823515397,0.3671327126618308
40,500;500,500;500,500,2,290.87586580091386,1.1561250240786143,2.1448327018331605,0.5074812218327491
41,500;500,600;600,500,2,249.47023641834656,0.8301594340280873,1.6579228533557204,0.6061581847455424
42,500;500,700;700,500,2,247.74936143977163,0.708151382790513,1.4170816573875733,0.705331159934798
43,500;500,800;800,500,2,245.7422174107874,0.6133857181409942,1.2283507332862222,0.8073722948917956
44,500;500,900;900,500,2,240.89971839749765,0.5344796567033095,1.0708696864517444,0.9039561582463298
45,600;600,100;100,500,2,497.1289601372359,9.689552555218537,14.363321338996428,0.02629750799789631
46,600;600,200;200,500,2,496.49316349340086,4.878205988086535,7.226025655722443,0.08970465203205753
47,600;600,300;300,500,2,495.6644721953394,3.2571243560395318,4.880228859393872,0.17630824121649866
48,600;600,400;400,500,2,493.47190943175565,2.4502254950828313,3.6767002599966516,0.2751264875386033
49,600;600,500;500,500,2,487.69305658039696,1.9319669169607971,2.9138155077697165,0.39151611646235207
50,600;600,600;600,500,2,304.0430857092281,1.0083759544997857,1.8275632315060935,0.5072951580176928
51,600;600,700;700,500,2,250.74058203589104,0.71511733453382,1.4250028562107646,0.5865117302346047
52,600;600,800;800,500,2,248.21028389710096,0.6202317095838007,1.2406432236051583,0.6712501375041251
53,600;600,900;900,500,2,246.3977006729845,0.5480092425688393,1.0970106829141508,0.751565031300626
54,700;700,100;100,500,2,496.9740434868775,9.683894002546149,14.177818252681892,0.020066135081943423
55,700;700,200;200,500,2,496.63035580109386,4.85889538610618,7.214395112687403,0.06813823519570486
56,700;700,300;300,500,2,496.00271478644447,3.263567859644513,4.873604116897834,0.1337406541430515
57,700;700,400;400,500,2,494.7982619135742,2.4654507320556274,3.6959661107957102,0.21169320419747928
58,700;700,500;500,500,2,491.76444429394763,1.9561231359684208,2.9350189934182866,0.3046567076787506
59,700;700,600;600,500,2,486.8965439340625,1.6156830752897933,2.436691646111453,0.4050989102836403
60,700;700,700;700,500,2,353.25272799936346,1.00496177072029,1.7124166159906662,0.5045834754177281
61,700;700,800;800,500,2,251.116430716347,0.6245141994297801,1.2437975593510733,0.5756845410724644
62,700;700,900;900,500,2,248.42363713518242,0.5496434607308002,1.0988610272607418,0.6512730254605092
63,800;800,100;100,500,2,496.92928775251926,9.543644500931531,13.874464047690601,0.016091317375830545
64,800;800,200;200,500,2,496.89789367779724,4.861636658837889,7.212868703490319,0.0540608286304292
65,800;800,300;300,500,2,496.26656990795664,3.254463857503757,4.838704551705462,0.10945772715545304
66,800;800,400;400,500,2,495.14345575060804,2.4479078413488047,3.6615575051978513,0.17353894540216452
67,800;800,500;500,500,2,494.5086133993991,1.9577635236778117,2.938934630419736,0.2479464966384584
68,800;800,600;600,500,2,491.29661467304186,1.6163109369738737,2.4303891050582833,0.3320851469285228
69,800;800,700;700,500,2,481.6812953339533,1.3697399880343093,2.078699423061974,0.418251478063876
70,800;800,800;800,500,2,307.9509560939652,0.768143987547396,1.3886660307338126,0.5064444733758625
71,800;800,900;900,500,2,251.37795732671447,0.5565809482724452,1.107755319373755,0.5687156871568715
72,900;900,100;100,500,2,497.473512505019,9.364497254866993,13.609900135330543,0.01360395679000011
73,900;900,200;200,500,2,496.8415838456747,4.887826209949787,7.240229733395468,0.04369994239097198
74,900;900,300;300,500,2,496.60021214885296,3.2594871675944903,4.852903111354016,0.08859077097259833
75,900;900,400;400,500,2,495.9622440669864,2.4483156618022215,3.6528038189804257,0.14392187932361625
76,900;900,500;500,500,2,495.17145438691375,1.969283510730671,2.949245494190036,0.20182436955572342
77,900;900,600;600,500,2,493.53988995920076,1.6298152494591833,2.4442756251437583,0.27631813099352615
78,900;900,700;700,500,2,491.2782578145983,1.3994628409561027,2.1108381664343514,0.3426324372462948
79,900;900,800;800,500,2,481.0481225161602,1.1909449917100239,1.8029835743102745,0.4340689643796125
80,900;900,900;900,500,2,370.92613125695345,0.8182311062070486,1.3674741110616035,0.5042896955958058
